title	release_year	rating_small	user_rating_score	dataset_small	rating_big	type	dataset_big	director	score_available	dataset	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
#Rucker50	2016				TV-PG	Movie	big	Robert McCullough Jr.	False	big	tt6475636	movie	#Rucker50	#Rucker50	0.0	2016.0		56.0	Documentary	5.2	140.0
#Selfie 69	2016				TV-MA	Movie	big	Cristina Jacob	False	big											
#realityhigh	2017				TV-14	Movie	big	Fernando Lebrija	False	big											
'76	2016				TV-PG	Movie	big	Izu Ojukwu	False	big	tt2385126	movie	'76	'76	0.0	2016.0		118.0	Drama,Romance	5.5	298.0
'89	2017				TV-PG	Movie	big		False	big											
(T)ERROR	2015				NR	Movie	big	Lyric R. Cabral, David Felix Sutcliffe	False	big	tt4370922	movie	(T)ERROR	(T)ERROR	0.0	2015.0		84.0	Documentary	6.6	823.0
0.03	2016	TV-MA		small					False	small											
1 Chance 2 Dance	2014				TV-PG	Movie	big	Adam Deyoe	False	big	tt2388856	movie	1 Chance 2 Dance	1 Chance 2 Dance	0.0	2014.0		89.0	Drama,Family,Romance	4.6	610.0
1 Mile to You	2017				TV-14	Movie	big	Leif Tilden	False	big	tt2184233	movie	1 Mile to You	1 Mile to You	0.0	2017.0		104.0	Drama,Romance,Sport	6.3	2882.0
10 Days in Sun City	2017				TV-14	Movie	big	Adze Ugah	False	big	tt10499474	movie	10 Days in Sun City	10 Days in Sun City	0.0	2017.0		87.0	Adventure,Comedy,Romance	5.5	80.0
10 Things I Hate About You	1999	PG-13	68.0	small					True	small	tt0147800	movie	10 Things I Hate About You	10 Things I Hate About You	0.0	1999.0		97.0	Comedy,Drama,Romance	7.3	409892.0
10 jours en or	2012				TV-14	Movie	big	Nicolas Brossette	False	big	tt1729630	movie	10 jours en or	10 jours en or	0.0	2012.0		95.0	Comedy,Drama	6.0	1062.0
10,000 B.C.	2008				PG-13	Movie	big	Roland Emmerich	False	big	tt3010906	tvEpisode	10,000 B.C.	10,000 B.C.	0.0	2008.0			Documentary		
100 Meters	2016				TV-MA	Movie	big	Marcel Barrena	False	big	tt5089786	movie	100 Meters	100 metros	0.0	2016.0		108.0	Biography,Comedy,Drama	7.5	7156.0
100 Metros	2016	TV-MA		small					False	small											
100 Things to do Before High School	2014				TV-Y	Movie	big		False	big											
100 Years: One Woman's Fight for Justice	2016				TV-14	Movie	big	Melinda Janko	False	big											
100% Hotter	2017				TV-14	TV Show	big		False	big											
1000 Rupee Note	2014				TV-14	Movie	big	Shrihari Sathe	False	big											
12 ROUND GUN	2017				TV-MA	Movie	big	Sam Upton	False	big											
12 Years Promise	2014				TV-14	TV Show	big		False	big	tt5476252	tvSeries	12 Years Promise	Dalrae Doen, Jang-guk: Yisimnyeonmanui Jaehoe	0.0	2014.0		70.0	Comedy,Drama,Romance	7.2	206.0
13 Cameras	2015				NR	Movie	big	Victor Zarcoff	False	big	tt4392454	movie	13 Cameras	Slumlord	0.0	2015.0		87.0	Crime,Horror,Thriller	5.2	6368.0
13 Sins	2014				R	Movie	big	Daniel Stamm	False	big	tt2059171	movie	13 Sins	13 Sins	0.0	2014.0		93.0	Horror,Thriller	6.3	40454.0
13TH	2016				TV-MA	Movie	big	Ava DuVernay	False	big											
13TH: A Conversation with Oprah Winfrey & Ava DuVernay	2017					Movie	big		False	big											
14 Blades	2010				R	Movie	big	Daniel Lee	False	big	tt1442571	movie	14 Blades	Jin yi wei	0.0	2010.0		114.0	Action,History,Thriller	6.3	8596.0
14 Minutes from Earth	2016				TV-MA	Movie	big	Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm	False	big	tt5626716	movie	14 Minutes from Earth	14 Minutes from Earth	0.0	2016.0		84.0	Documentary	5.7	180.0
17 Again	2009				PG-13	Movie	big	Burr Steers	False	big	tt0974661	movie	17 Again	17 Again	0.0	2009.0		102.0	Comedy,Drama,Fantasy	6.4	222412.0
187	1997				R	Movie	big	Kevin Reynolds	False	big											
1898: Our Last Men in the Philippines	2016				R	Movie	big	Salvador Calvo	False	big	tt5698568	movie	1898: Our Last Men in the Philippines	1898. Los últimos de Filipinas	0.0	2016.0		105.0	Drama,History,War	6.5	3688.0
1920	2008				TV-MA	Movie	big	Vikram Bhatt	False	big	tt1301698	movie	1920	1920	0.0	2008.0		143.0	Horror,Mystery,Thriller	6.4	4322.0
2 Alone in Paris	2008				TV-MA	Movie	big	Ramzy Bedia, Éric Judor	False	big	tt1077097	movie	2 Alone in Paris	Seuls Two	0.0	2008.0		94.0	Comedy	5.4	2832.0
2 States	2014				TV-PG	Movie	big	Abhishek Varman	False	big	tt2372678	movie	2 States	2 States	0.0	2014.0		149.0	Comedy,Drama,Romance	6.9	27575.0
20 Feet From Stardom	2013				PG-13	Movie	big	Morgan Neville	False	big											
20 Minutes	2013				TV-MA	TV Show	big		False	big											
2015 Dream Concert	2015				TV-PG	Movie	big		False	big	tt6959400	tvSpecial	2015 Dream Concert	2015 Dream Concert	0.0	2015.0		107.0	Music	6.2	22.0
20th Century Women	2016				R	Movie	big	Mike Mills	False	big	tt4385888	movie	20th Century Women	20th Century Women	0.0	2016.0		119.0	Comedy,Drama	7.3	50739.0
21 Thunder	2017				TV-MA	TV Show	big		False	big	tt6145878	tvSeries	21 Thunder	21 Thunder	0.0	2017.0	2017.0	44.0	Drama	6.0	1088.0
2307: Winter's Dream	2016				TV-MA	Movie	big	Joey Curtis	False	big	tt4261326	movie	2307: Winter's Dream	2307: Winter's Dream	0.0	2016.0		101.0	Sci-Fi	3.7	1742.0
23:59	2011				R	Movie	big	Gilbert Chan	False	big	tt2100376	movie	23:59	23:59	0.0	2011.0		78.0	Horror	4.6	1043.0
24 Hours to Live	2017				R	Movie	big	Brian Smrz	False	big	tt5442456	movie	24 Hours to Live	24 Hours to Live	0.0	2017.0		93.0	Action,Sci-Fi,Thriller	5.8	16574.0
25 Kille	2016				TV-14	Movie	big	Simranjit Singh Hundal	False	big	tt5743858	movie	25 Kille	25 Kille	0.0	2016.0		141.0	Comedy,Drama	5.6	116.0
26 Years	2012				TV-MA	Movie	big	Geun-hyun Cho	False	big	tt2551894	movie	26 Years	26 nyeon	0.0	2012.0		135.0	Crime,Drama,Thriller	6.3	1455.0
27: Gone Too Soon	2017				TV-MA	Movie	big	Simon Napier-Bell	False	big											
28 Moons	2016				TV-PG	TV Show	big		False	big											
3 Deewarein	2003				TV-MA	Movie	big	Nagesh Kukunoor	False	big	tt0338490	movie	3 Deewarein	3 Deewarein	0.0	2003.0		115.0	Crime,Drama	7.8	2656.0
3 Generations	2015				PG-13	Movie	big	Gaby Dellal	False	big	tt4158624	movie	3 Generations	3 Generations	0.0	2015.0		92.0	Drama	6.0	7131.0
3 Heroines	2016				TV-PG	Movie	big	Iman Brotoseno	False	big											
3 Idiots	2009				PG-13	Movie	big	Rajkumar Hirani	False	big	tt1187043	movie	3 Idiots	3 Idiots	0.0	2009.0		170	Comedy,Drama	8.4	451955.0
3 Türken & ein Baby	2015				TV-MA	Movie	big	Sinan Akkuş	False	big	tt3598648	movie	3 Türken & ein Baby	3 Türken & ein Baby	0.0	2015.0		95	Comedy	5.4	1898.0
30 Days of Luxury	2016				TV-14	Movie	big	Hani Hamdi	False	big	tt7616358	movie	30 Days of Luxury	Talatin Yom fi el-Izz	0.0	2016.0		91.0	Comedy,Musical	2.2	56.0
30 Rock	2012	TV-14	66.0	small	TV-14	TV Show	big		True	smallbig											
300 Miles to Heaven	1989				TV-14	Movie	big	Maciej Dejczer	False	big	tt0096740	movie	300 Miles to Heaven	300 mil do nieba	0.0	1989.0		105.0	Biography,Drama	7.1	1101.0
42 Grams	2017				TV-MA	Movie	big	Jack C. Newell	False	big	tt4760186	movie	42 Grams	42 Grams	0.0	2017.0		82.0	Biography,Documentary,Drama	7.0	437.0
46	2016				TV-MA	TV Show	big	Serdar Akar	False	big	tt12991892	tvEpisode	46	46	0.0	2016.0		3.0	Short		
48 Christmas Wishes	2017				TV-G	Movie	big	Marco Deufemia, Justin G. Dyck	False	big	tt7422638	tvMovie	48 Christmas Wishes	48 Christmas Wishes	0.0	2017.0		84.0	Adventure,Comedy,Drama	4.0	1284.0
4th Man Out	2015				NR	Movie	big	Andrew Nackman	False	big	tt3978720	movie	4th Man Out	Fourth Man Out	0.0	2015.0		86	Comedy,Drama	6.7	11070.0
5 Cowok Jagoan	2017				TV-MA	Movie	big	Anggy Umbara	False	big											
5 Flights Up	2014				PG-13	Movie	big	Richard Loncraine	False	big	tt2933544	movie	5 Flights Up	5 Flights Up	0.0	2014.0		88.0	Comedy,Drama	6.2	11396.0
5 to 7	2014	R		small	R	Movie	big	Victor Levin	False	smallbig	tt2486678	movie	5 to 7	5 to 7	0.0	2014.0		95.0	Comedy,Drama,Romance	7.1	21756.0
5CM	2012				TV-14	Movie	big	Rizal Mantovani	False	big											
6 Bullets	2012				R	Movie	big	Ernie Barbarash	False	big	tt1975249	movie	6 Bullets	6 Bullets	0.0	2012.0		115.0	Action,Crime,Drama	6.0	16149.0
6 Years	2015				TV-MA	Movie	big	Hannah Fidell	False	big	tt3799372	movie	6 Years	6 Years	0.0	2015.0		79.0	Drama,Romance	5.5	13317.0
6-5=2	2014				TV-MA	Movie	big	Bharat Jain	False	big	tt5162476	movie	6-5=2	6-5=2	0.0	2014.0		104.0	Horror	4.5	255.0
678	2009				TV-14	Movie	big	Mohamed Diab	False	big	tt2048941	tvSeries	678	678	0.0	2009.0	2015.0		News	3.6	30.0
68 Kill	2017				R	Movie	big	Trent Haaga	False	big	tt5189894	movie	68 Kill	68 Kill	0.0	2017.0		93.0	Comedy,Crime,Thriller	6.0	6727.0
7 Khoon Maaf	2011				TV-MA	Movie	big	Vishal Bhardwaj	False	big	tt1629376	movie	7 Khoon Maaf	7 Khoon Maaf	0.0	2011.0		137.0	Comedy,Drama,Mystery	6.3	6762.0
7 años	2016				TV-MA	Movie	big	Roger Gual	False	big											
72 Cutest Animals	2016				TV-PG	TV Show	big		False	big	tt5815824	tvMiniSeries	72 Cutest Animals	72 Cutest Animals	0.0	2016.0		27.0	Documentary	5.7	549.0
72 Dangerous Animals: Latin America	2017				TV-14	TV Show	big		False	big	tt7909708	tvMiniSeries	72 Dangerous Animals: Latin America	72 Dangerous Animals: Latin America	0.0	2017.0	2017.0		Documentary	6.6	748.0
72 Dangerous Places to Live	2016				TV-PG	TV Show	big		False	big	tt5674272	tvMiniSeries	72 Dangerous Places to Live	72 Dangerous Places to Live	0.0	2016.0	2016.0		Documentary	6.2	513.0
7:19	2016				TV-MA	Movie	big	Jorge Michel Grau	False	big	tt5979312	movie	7:19	7:19	0.0	2016.0		94.0	Drama,History	5.8	698.0
9 Months That Made You	2016				TV-PG	TV Show	big		False	big	tt6949590	tvSeries	9 Months That Made You	9 Months That Made You	0.0	2016.0		55.0	Documentary	7.3	82.0
90210	2013	TV-14	62.0	small					True	small											
93 Days	2016				TV-PG	Movie	big	Steve Gukas	False	big	tt5305246	movie	93 Days	93 Days	0.0	2016.0		118.0	Drama	6.1	1800.0
A 2nd Chance	2011				PG	Movie	big	Clay Glen	False	big	tt2150139	movie	A 2nd Chance	A Second Chance	0.0	2011.0		90.0	Adventure,Drama,Family	4.7	1249.0
A Beautiful Life	2011				TV-14	Movie	big	Andrew Lau Wai-Keung	False	big	tt1934335	movie	A Beautiful Life	Mei li ren sheng	0.0	2011.0		122.0	Drama,Romance	6.6	1169.0
A Billion Colour Story	2016				TV-14	Movie	big	Padmakumar Narasimhamurthy	False	big	tt6289320	movie	A Billion Colour Story	A Billion Colour Story	0.0	2016.0		105.0	Drama	8.0	556.0
A Boy Called Po	2016				PG	Movie	big	John Asher	False	big	tt1401621	movie	A Boy Called Po	A Boy Called Po	0.0	2016.0		95.0	Drama,Fantasy	6.4	1818.0
A Boy Name Flora A	2017				TV-MA	TV Show	big		False	big											
A Bridge Too Far	1977				PG	Movie	big	Richard Attenborough	False	big	tt0075784	movie	A Bridge Too Far	A Bridge Too Far	0.0	1977.0		175.0	Drama,History,War	7.4	63765.0
A Chaster Marriage	2016				TV-14	Movie	big	Umut Kirca	False	big	tt5985820	movie	A Chaster Marriage	El Degmemis Ask	0.0	2016.0		98.0	Comedy,Romance	5.4	1105.0
A Christmas Prince	2017				TV-PG	Movie	big	Alex Zamm	False	big	tt7608418	movie	A Christmas Prince	A Christmas Prince	0.0	2017.0		92.0	Comedy,Family,Romance	5.8	22773.0
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir	2016				TV-Y7	Movie	big	Thomas Astruc	False	big											
A Cinderella Story	2004				PG	Movie	big	Mark Rosman	False	big	tt0356470	movie	A Cinderella Story	A Cinderella Story	0.0	2004.0		95.0	Comedy,Family,Romance	5.9	96710.0
A Clockwork Orange	1971				R	Movie	big	Stanley Kubrick	False	big	tt0066921	movie	A Clockwork Orange	A Clockwork Orange	0.0	1971.0		136.0	Crime,Sci-Fi	8.2	903215.0
A Dangerous Woman	1993				R	Movie	big	Stephen Gyllenhaal	False	big	tt0106661	movie	A Dangerous Woman	A Dangerous Woman	0.0	1993.0		102.0	Drama,Romance	5.7	2092.0
A Fairly Odd Summer	2014				TV-Y7	Movie	big	Savage Steve Holland	False	big	tt3149536	tvMovie	A Fairly Odd Summer	A Fairly Odd Summer	0.0	2014.0		68.0	Comedy,Family,Fantasy	3.7	734.0
A Flying Jatt	2016				TV-14	Movie	big	Remo D'Souza	False	big	tt5235880	movie	A Flying Jatt	A Flying Jatt	0.0	2016.0		151.0	Action,Adventure,Comedy	3.1	5771.0
A Glimpse Inside the Mind of Charles Swan III	2012				R	Movie	big	Roman Coppola	False	big	tt2044729	movie	A Glimpse Inside the Mind of Charles Swan III	A Glimpse Inside the Mind of Charles Swan III	0.0	2012.0		86.0	Comedy	4.6	5825.0
A Good Wife	2013				TV-14	TV Show	big		False	big	tt3983112	tvSeries	A Good Wife	Qin ai de, wo ai shang bie ren le	0.0	2013.0			Romance	7.6	39.0
A Grand Night In: The Story of Aardman	2015				TV-PG	Movie	big	Richard Mears	False	big	tt5304980	tvMovie	A Grand Night In: The Story of Aardman	A Grand Night In: The Story of Aardman	0.0	2015.0		59.0	Documentary,History	7.5	827.0
A Gray State	2017				TV-MA	Movie	big	Erik Nelson	False	big	tt6794380	movie	A Gray State	A Gray State	0.0	2017.0		93.0	Documentary	6.2	1706.0
A Heavy Heart	2015				TV-MA	Movie	big	Thomas Stuber	False	big	tt3296980	movie	A Heavy Heart	Herbert	0.0	2015.0		109	Drama	7.1	816.0
A Holiday Engagement	2011				TV-G	Movie	big	Jim Fall	False	big											
A House of Blocks	2017				TV-PG	TV Show	big		False	big											
A Kind of Murder	2016				R	Movie	big	Andy Goddard	False	big	tt2726552	movie	A Kind of Murder	A Kind of Murder	0.0	2016.0		95	Crime,Drama,Mystery	5.3	8821.0
A Korean Odyssey	2017				TV-MA	TV Show	big		False	big	tt7099334	tvSeries	A Korean Odyssey	Hwayugi	0.0	2017.0	2018.0	75.0	Comedy,Fantasy,Horror	7.9	6602.0
A Lion in the House	2006				TV-14	TV Show	big	Steven Bognar, Julia Reichert	False	big	tt0492472	movie	A Lion in the House	A Lion in the House	0.0	2006.0		225.0	Documentary	8.8	404.0
A Little Chaos	2014				R	Movie	big	Alan Rickman	False	big	tt2639254	movie	A Little Chaos	A Little Chaos	0.0	2014.0		117.0	Drama,Romance	6.5	26043.0
A Love Story	2007				TV-14	Movie	big	Maryo J. De los Reyes	False	big	tt0990433	movie	A Love Story	A Love Story	0.0	2007.0		117.0	Drama,Romance	6.5	174.0
A Man Called God	2010				TV-14	TV Show	big		False	big	tt2060590	tvSeries	A Man Called God	Shinira bulriwoon sanai	0.0	2010.0	2010.0	50.0	Action,Romance	6.3	276.0
A Mighty Team	2016				TV-MA	Movie	big	Thomas Sorriaux	False	big	tt4676238	movie	A Mighty Team	La Dream Team	0.0	2016.0		95.0	Comedy,Sport	5.5	847.0
A Mission in an Old Movie	2012				TV-MA	Movie	big	Ahmad El-Badri	False	big											
A Monster in Paris	2011	PG		small					False	small	tt0961097	movie	A Monster in Paris	Un monstre à Paris	0.0	2011.0		90.0	Adventure,Animation,Comedy	6.7	23255.0
A Most Violent Year	2014				R	Movie	big	J.C. Chandor	False	big	tt2937898	movie	A Most Violent Year	A Most Violent Year	0.0	2014.0		125.0	Crime,Drama,Thriller	6.9	79510.0
A Murder in the Park	2014				PG-13	Movie	big	Christopher S. Rech, Brandon Kimber	False	big	tt3168808	movie	A Murder in the Park	A Murder in the Park	0.0	2014.0		91	Crime,Documentary,History	7.3	1273.0
A Night at the Roxbury	1998				PG-13	Movie	big	John Fortenberry	False	big	tt0120770	movie	A Night at the Roxbury	A Night at the Roxbury	0.0	1998.0		82.0	Comedy,Music,Romance	6.2	66105.0
A Noble Intention	2015				TV-MA	Movie	big	Joram Lürsen	False	big	tt3765078	movie	A Noble Intention	Publieke werken	0.0	2015.0		115.0	Drama,History	6.7	2435.0
A Patch of Fog	2015				TV-MA	Movie	big	Michael Lennox	False	big	tt2181282	movie	A Patch of Fog	A Patch of Fog	0.0	2015.0		92.0	Thriller	6.5	1738.0
A Perfect Ending	2012				TV-MA	Movie	big	Nicole Conn	False	big	tt1823059	movie	A Perfect Ending	A Perfect Ending	0.0	2012.0		110.0	Drama,Romance	5.6	5069.0
A Perfect Man	2013				R	Movie	big	Kees Van Oostrum	False	big	tt2275471	movie	A Perfect Man	A Perfect Man	0.0	2013.0		95.0	Drama,Romance	5.2	2229.0
A Place in the Stars	2014				TV-14	Movie	big	Steve Gukas	False	big	tt3522136	movie	A Place in the Stars	A Place in the Stars	0.0	2014.0		112	Drama,Thriller	6.5	26.0
A Plastic Ocean	2016				TV-14	Movie	big		False	big	tt5203824	movie	A Plastic Ocean	A Plastic Ocean	0.0	2016.0		102.0	Documentary	8.0	3284.0
A Princess for Christmas	2011				TV-PG	Movie	big	Michael Damian	False	big	tt1083448	tvMovie	A Princess for Christmas	A Princess for Christmas	0.0	2011.0		91.0	Comedy,Drama,Family	6.3	9468.0
A Russell Peters Christmas	2011				NR	Movie	big	Henry Sarwer-Foner	False	big											
A Scandall	2016				TV-MA	Movie	big	Ishaan Trivedi	False	big	tt5780570	movie	A Scandall	A Scandall	0.0	2016.0		112.0	Thriller	3.1	171.0
A Separation	2011				PG-13	Movie	big	Asghar Farhadi	False	big	tt1832382	movie	A Separation	Jodaeiye Nader az Simin	0.0	2011.0		123.0	Drama	8.3	266539.0
A Silent Voice	2016				TV-14	Movie	big	Naoko Yamada	False	big											
A Sort of Family	2017				TV-14	Movie	big	Diego Lerman	False	big	tt6386168	movie	A Sort of Family	Una especie de familia	0.0	2017.0		95.0	Crime,Drama,Thriller	6.3	778.0
A Sort of Homecoming	2015				TV-PG	Movie	big	Maria Burton	False	big	tt3303652	movie	A Sort of Homecoming	A Sort of Homecoming	0.0	2015.0		88	Drama	5.6	299.0
A Stoning in Fulham County	1988				TV-14	Movie	big	Larry Elikann	False	big	tt0096179	tvMovie	A Stoning in Fulham County	A Stoning in Fulham County	0.0	1988.0		94.0	Crime,Drama,Thriller	5.9	480.0
A StoryBots Christmas	2017				TV-Y	Movie	big	Evan Spiridellis, Jeff Gill	False	big	tt7018722	tvShort	A StoryBots Christmas	A StoryBots Christmas	0.0	2017.0		24.0	Adventure,Comedy,Family	5.8	198.0
A Tale of Love and Darkness	2015				PG-13	Movie	big	Natalie Portman	False	big	tt1135989	movie	A Tale of Love and Darkness	A Tale of Love and Darkness	0.0	2015.0		95.0	Biography,Drama,History	6.0	4431.0
A Thin Line Between Love & Hate	1996				R	Movie	big	Martin Lawrence	False	big	tt7979048	tvEpisode	A Thin Line Between Love & Hate	A Thin Line Between Love & Hate	0.0	1996.0					
A Touch of Green	2016				TV-MA	TV Show	big		False	big											
A Trip to Jamaica	2016				TV-MA	Movie	big	Robert O. Peters	False	big	tt6334740	movie	A Trip to Jamaica	A Trip to Jamaica	0.0	2016.0		98.0	Comedy,Drama	5.0	79.0
A Very Country Christmas	2017				TV-G	Movie	big	Justin G. Dyck	False	big	tt7001906	tvMovie	A Very Country Christmas	A Very Country Christmas	0.0	2017.0		84.0	Comedy,Drama,Romance	6.1	2089.0
A Very Murray Christmas	2015				TV-14	Movie	big	Sofia Coppola	False	big	tt4537842	tvSpecial	A Very Murray Christmas	A Very Murray Christmas	0.0	2015.0		56.0	Comedy,Music,Musical	5.5	16738.0
A Very Special Love	2008				TV-G	Movie	big	Cathy Garcia-Molina	False	big	tt1243381	movie	A Very Special Love	A Very Special Love	0.0	2008.0		106	Comedy,Romance	6.5	453.0
A Walk to Remember	2002				PG	Movie	big	Adam Shankman	False	big	tt0281358	movie	A Walk to Remember	A Walk to Remember	0.0	2002.0		101.0	Drama,Romance	7.3	225537.0
A Wednesday	2008				TV-MA	Movie	big	Neeraj Pandey	False	big	tt1280558	movie	A Wednesday	A Wednesday	0.0	2008.0		104.0	Action,Crime,Drama	8.1	83643.0
A Week in Watts	2017				TV-14	Movie	big	Gregory Caruso	False	big											
A Weekend with the Family	2016	TV-MA		small					False	small											
A Witches' Ball	2017				PG	Movie	big	Justin G. Dyck	False	big	tt5814408	movie	A Witches' Ball	A Witches' Ball	0.0	2017.0		90.0	Adventure,Comedy,Family	5.0	464.0
A Year In Space	2015				TV-PG	TV Show	big		False	big											
A Yellow Bird	2016				TV-MA	Movie	big	K. Rajagopal	False	big	tt5709164	movie	A Yellow Bird	A Yellow Bird	0.0	2016.0		112.0	Drama	5.4	246.0
A Young Doctor's Notebook and Other Stories	2013				TV-MA	TV Show	big		False	big											
A new Capitalism	2017				TV-14	Movie	big		False	big											
A.D. Kingdom and Empire	2015				TV-14	TV Show	big		False	big											
ABCD 2	2015				TV-14	Movie	big	Remo D'Souza	False	big											
ABCD: Any Body Can Dance	2013				TV-14	Movie	big	Remo D'Souza	False	big											
AJIN: Demi-Human	2016				TV-MA	TV Show	big		False	big											
AMO	2017				TV-MA	TV Show	big		False	big											
APEX: The Story of the Hypercar	2016				NR	Movie	big	J.F. Musial, Josh Vietze	False	big											
ARQ	2016				TV-MA	Movie	big	Tony Elliott	False	big	tt5640450	movie	ARQ	ARQ	0.0	2016.0		88.0	Action,Sci-Fi,Thriller	6.3	42654.0
Aadu 2	2017				TV-MA	Movie	big	Midhun Manuel Thomas	False	big											
Aagey Se Right	2009				TV-14	Movie	big	Indrajit Nattoji	False	big	tt1479667	movie	Aagey Se Right	Aagey Se Right	0.0	2009.0		117.0	Comedy,Crime,Drama	5.2	432.0
Aajcha Divas Majha	2013				TV-PG	Movie	big	Chandrakant Kulkarni	False	big											
Aakhri Adaalat	1988				TV-14	Movie	big	Rajiv Mehra	False	big	tt0177505	movie	Aakhri Adaalat	Aakhri Adaalat	0.0	1988.0		148.0	Action,Thriller	5.0	121.0
Aamir	2008				TV-14	Movie	big	Raj Kumar Gupta	False	big	tt1241195	movie	Aamir	Aamir	0.0	2008.0		99	Action,Crime,Drama	7.6	11739.0
Aarakshan	2011				TV-14	Movie	big	Prakash Jha	False	big	tt1848771	movie	Aarakshan	Aarakshan	0.0	2011.0		164.0	Drama,Thriller	6.2	6045.0
Aashayein	2010				TV-14	Movie	big	Nagesh Kukunoor	False	big	tt1227524	movie	Aashayein	Aashayein	0.0	2010.0		120.0	Drama	7.1	1368.0
Aashik Awara	1993				TV-14	Movie	big	Umesh Mehra	False	big											
Aata Pita	2010				TV-14	Movie	big	Uttung Shelar	False	big	tt2606526	movie	Aata Pita	Aata Pita	0.0	2010.0		125.0	Comedy,Drama	7.2	19.0
Abby Sen	2015				TV-PG	Movie	big	Atanu Ghosh	False	big	tt5012994	movie	Abby Sen	Abby Sen	0.0	2015.0		128.0	Comedy,Drama,Sci-Fi	5.9	391.0
Abdo Mota	2012				TV-MA	Movie	big		False	big											
Abducted in Plain Sight	2017				TV-14	Movie	big	Skye Borgman	False	big	tt3444312	movie	Abducted in Plain Sight	Abducted in Plain Sight	0.0	2017.0		91	Crime,Documentary	6.8	23217.0
Abdullah, The Final Witness	2016				TV-14	Movie	big	Hashim Nadeem Khan	False	big											
Abhinetri	2016				TV-14	Movie	big	A. L. Vijay	False	big	tt6106494	movie	Abhinetri	Abhinetri	0.0	2016.0		127.0	Comedy,Horror	6.0	396.0
Abnormal Summit	2017				TV-PG	TV Show	big	Jung-ah Im, Seung-uk Jo	False	big											
Abominable Christmas	2012				TV-Y7	Movie	big	Chad Van De Keere	False	big	tt2445310	tvMovie	Abominable Christmas	Abominable Christmas	0.0	2012.0		43.0	Adventure,Animation,Comedy	5.1	332.0
Absolutely Fabulous	2012	TV-14	59.0	small					True	small											
Abstract: The Art of Design	2017	TV-14		small					False	small	tt6333098	tvSeries	Abstract: The Art of Design	Abstract: The Art of Design	0.0	2017.0	2019.0	45.0	Documentary	8.3	6035.0
Abzurdah	2015				TV-MA	Movie	big	Daniela Goggi	False	big	tt4413338	movie	Abzurdah	Abzurdah	0.0	2015.0		90.0	Biography,Drama,Romance	5.4	2287.0
Acapulco La vida va	2016				TV-MA	Movie	big	Alfonso Serrano Maturino	False	big											
Accepted	2006				PG-13	Movie	big	Steve Pink	False	big	tt0384793	movie	Accepted	Accepted	0.0	2006.0		93.0	Comedy	6.4	142159.0
Accident	2009				TV-MA	Movie	big	Cheang Pou Soi	False	big	tt1202514	movie	Accident	Yi ngoi	0.0	2009.0		89.0	Mystery,Thriller	6.6	3941.0
Across Grace Alley	2013				TV-PG	Movie	big	Ralph Macchio	False	big	tt2813432	short	Across Grace Alley	Across Grace Alley	0.0	2013.0		25.0	Drama,Music,Short	6.0	342.0
Across The Line	2015				TV-MA	Movie	big	Julien Christian Lutz	False	big											
Across the Universe	2007				PG-13	Movie	big	Julie Taymor	False	big	tt0445922	movie	Across the Universe	Across the Universe	0.0	2007.0		133.0	Drama,Fantasy,History	7.3	115660.0
Act of Vengeance	2010				NR	Movie	big	Mahsun Kırmızıgül	False	big	tt1686039	movie	Act of Vengeance	New York'ta Bes Minare	0.0	2010.0		119.0	Action,Drama	5.7	15718.0
Action Replayy	2010				TV-PG	Movie	big	Vipul Amrutlal Shah	False	big	tt1396208	movie	Action Replayy	Action Replayy	0.0	2010.0		129.0	Comedy,Romance,Sci-Fi	4.3	7320.0
Acts of Vengeance	2017				R	Movie	big	Isaac Florentine	False	big	tt6288694	movie	Acts of Vengeance	Acts of Vengeance	0.0	2017.0		87.0	Action,Drama,Thriller	5.7	14034.0
Adam: His Song Continues	1986				TV-MA	Movie	big	Robert Markowitz	False	big	tt0090589	tvMovie	Adam: His Song Continues	Adam: His Song Continues	0.0	1986.0		100.0	Crime,Drama	7.0	247.0
Addicted to Life	2014				TV-14	Movie	big	Thierry Donard	False	big	tt4242982	movie	Addicted to Life	Nuit de la Glisse: Addicted to Life	0.0	2014.0		90.0	Documentary	6.3	166.0
Aditi Mittal: Things They Wouldn't Let Me Say	2017				TV-MA	Movie	big	Fazila Allana	False	big	tt7127976	tvSpecial	Aditi Mittal: Things They Wouldn't Let Me Say	Aditi Mittal: Things They Wouldn't Let Me Say	0.0	2017.0		62.0	Comedy	4.5	342.0
Adrishya	2017				TV-14	Movie	big	Sandeep Chatterjee	False	big	tt7476874	movie	Adrishya	Adrishya	0.0	2017.0		106.0	Drama,Family,Horror	3.2	216.0
Advantageous	2015				TV-MA	Movie	big	Jennifer Phang	False	big	tt3090670	movie	Advantageous	Advantageous	0.0	2015.0		90.0	Drama,Family,Sci-Fi	6.1	6054.0
Aerials	2016				TV-14	Movie	big	S.A. Zaidi	False	big	tt5314138	movie	Aerials	Aerials	0.0	2016.0		90.0	Drama,Sci-Fi,Thriller	1.5	431.0
Afronta! Facing It!	2017				TV-PG	TV Show	big	Juliana Vicente	False	big											
